StartDate,EndDate,Progress,Duration__in_seconds_,Finished,Age,Edu,Race,Politics,PRegion,Region,SES,G,G_9_TEXT,FamRace,DispMC,ContMC,S1,S2,S3,S4,Attention,S5,S6,S7,S8,S9,N1,N2,N3,N4,N5,N6,N7,clean,wash,six,mask,closed,number,more,VaccineY,HaveCOVID,HadCOVID,MC1,MC2,MC3,MC4,MC5,MC6,VaccineIntention,MandatoryVaccine,PrivatizationSupport,PublicHealthInvest,HealthTaxIncrease,EmergencyAssistanceSupport,MR1,MR2,MR3,MR4,MR5,MR6,MR7,MR8,ID1,ID2,ID3,ID4,FL_18_DO_RacismCondition,FL_18_DO_Control,S2R,S4R,S6R,S7R,S9R,N5R,N6R,moreR,numberR,MC4R,MC5R,fullpriR,MR2R,ID1R,ID3R,Condition,Severity,Normalcy,HealthBehaviors,Disparities,ModRace,WhiteID
2/10/2021 6:14:56,2/10/2021 6:20:37,100,340,1,29,5,1,81,6,6,3,0, ,4,1, ,6,5,6,2,5,6,3,2,3,5,6,5,6,5,4,4,5,3,5,5,7,4,2,2,2,4,4,5,5,6,4,5,5,7,3,4,7,3,4,3,5,4,5,3,1,2,2,5,4,5,4,1, ,3,6,5,6,3,4,4,6,6,4,3,4,3,3,3,1,4.88888888888889,5,5.33333333333333,4.8,2.57142857142857,4
2/10/2021 6:19:52,2/10/2021 6:20:44,100,51,1,29,8,4,52,5,5,3,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2/10/2021 5:58:33,2/10/2021 6:22:08,100,1414,1,52,8,1,50,5,5,6,1, ,4, ,1,7,1,7,1,5,6,1,1,3,1,1,3,2,1,5,7,1,7,7,7,7,1,1,1,2,4,4,1,1,2,1,7,1,7,7,5,7,4,7,1,7,1,7,1,1,1,1,7,1,7,4, ,1,7,7,7,7,7,3,1,7,7,7,1,3,1,1,1,0,6.44444444444444,1.71428571428571,7,1.2,1,2.5
2/10/2021 6:07:36,2/10/2021 6:23:12,100,935,1,37,5,1,70,5,5,3,1, ,4,1, ,7,1,7,1,5,7,1,1,7,4,4,3,3,3,6,6,5,7,7,6,7,4,2,1,2,4,4,7,7,6,3,4,6,7,7,3,7,4,7,1,5,3,7,3,2,1,1,4,5,3,4,1, ,7,7,7,7,4,2,2,7,6,5,4,5,3,4,5,1,6.66666666666667,3.14285714285714,6.66666666666667,6,2,4.5
2/10/2021 6:23:43,2/10/2021 6:24:59,100,75,1,58,9,4,61,2,5,6,1, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2/10/2021 6:12:21,2/10/2021 6:25:11,100,769,1,27,8,1,100,5,5,6,1, ,2, ,1,7,6,7,1,5,7,5,1,1,2,5,5,7,5,4,5,4,7,7,7,7,1,3,2,2,4,4,1,1,1,1,7,1,4,1,1,7,1,7,1,1,1,7,1,1,1,1,1,1,7,1, ,1,2,7,3,7,6,4,3,6,5,7,1,7,7,7,1,0,5.22222222222222,4.71428571428571,6.5,1,1.85714285714286,1
2/10/2021 6:21:05,2/10/2021 6:26:38,100,333,1,27,8,1,99,5,5,5,0, ,2, ,1,7,7,7,1,5,7,6,1,2,7,1,1,2,1,7,7,1,7,7,7,7,6,7,7,2,4,2,1,1,1,1,7,1,7,7,1,7,2,7,1,1,6,7,1,1,1,1,7,1,1,1, ,1,1,7,2,7,1,1,1,1,1,7,1,7,7,1,7,0,4.55555555555556,1.14285714285714,5,1,2.57142857142857,1
2/10/2021 6:25:37,2/10/2021 6:26:42,100,65,1,23,7,4,40,2,2,1,1, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2/10/2021 6:12:21,2/10/2021 6:26:47,100,866,1,29,8,1,100,6,6,6,0, ,2,2, ,7,1,7,1,5,7,1,1,1,5,3,1,5,3,6,6,2,7,7,7,7,5,1,1,2,4,4,2,1,1,1,7,1,7,7,1,6,3,7,1,3,4,7,1,1,1,1,7,1,7,1,1, ,7,7,7,7,3,2,2,7,7,7,1,7,5,1,1,1,5.88888888888889,2.57142857142857,7,1.2,2,1
2/10/2021 6:01:04,2/10/2021 6:28:39,100,1654,1,63,9,1,70,3,3,6,1, ,3, ,1,5,4,6,2,5,4,3,4,3,4,5,5,5,5,4,5,5,5,5,4,5,3,5,4,2,3,2,5,5,4,3,4,5,4,3,4,5,3,4,3,4,4,5,3,3,3,4,4,4,4,4, ,1,4,6,5,4,4,4,3,4,3,5,4,4,4,4,4,0,4.55555555555556,4.57142857142857,4.33333333333333,4.6,3.42857142857143,4
